Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
Purview,Yes,Microsoft.Purview,purview,Done,Done,Released,NotStarted,NotStarted,specification/purview/resource-manager/Microsoft.Purview/Purview/tspconfig.yaml,2024-04-01-preview,sdk/purview/azure-resourcemanager-purview,2021-07-01,https://github.com/Azure/azure-sdk-for-java/pull/48515,
Azure Site Recovery,Yes,Microsoft.RecoveryServices,recoveryservicessiterecovery,,Done,Released,Released,NotStarted,specification/recoveryservicessiterecovery/resource-manager/Microsoft.RecoveryServices/SiteRecovery/tspconfig.yaml,2025-08-01,sdk/recoveryservicessiterecovery/azure-resourcemanager-recoveryservicessiterecovery,2025-01-01,https://github.com/Azure/azure-sdk-for-java/pull/48518,
Azure Search,Yes,Microsoft.Search,search,Done,Done,Released,Released,NotStarted,,,,,https://github.com/Azure/azure-sdk-for-java/pull/48370,
Azure Frontdoor,Yes,Microsoft.Network,frontdoor,Done,Done,Released,NotStarted,NotStarted,specification/frontdoor/resource-manager/Microsoft.Network/FrontDoor/tspconfig.yaml,2025-10-01,sdk/frontdoor/azure-resourcemanager-frontdoor,inconsistent,https://github.com/Azure/azure-sdk-for-java/pull/48519,
NFV Resource Provider,Yes,Microsoft.NetworkFunction,networkfunction,Done,Released,Released,NotStarted,NotStarted,specification/networkfunction/NetworkFunction.Management/tspconfig.yaml,2022-11-01,sdk/networkfunction/azure-resourcemanager-networkfunction,2022-11-01,https://github.com/Azure/azure-sdk-for-java/pull/48223,
Sevice Fabric,Yes,Microsoft.ServiceFabric,servicefabric,Done,Done,Released,NotStarted,NotStarted,specification/servicefabric/resource-manager/Microsoft.ServiceFabric/ServiceFabric/tspconfig.yaml,2026-03-01-preview,sdk/servicefabric/azure-resourcemanager-servicefabric,2021-06-01,https://github.com/Azure/azure-sdk-for-java/pull/48517,Pending specs PR https://github.com/Azure/azure-rest-api-specs/pull/40420
ServiceFabricManagedClusters,Yes,Microsoft.ServiceFabric,servicefabricmanagedclusters,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/servicefabricmanagedclusters/resource-manager/Microsoft.ServiceFabric/ServiceFabricManagedClusters/tspconfig.yaml,2026-02-01,,,,
Azure Container Apps,Yes,Microsoft.App,app,,Done,NotStarted,NotStarted,NotStarted,specification/app/resource-manager/Microsoft.App/ContainerApps/tspconfig.yaml,2025-10-02-preview,,not_released,,
Application Insights,Yes,Microsoft.Insights,applicationinsights,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Privileged Identity Management,Yes,Microsoft.Authorization,authorization,,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,,,,,,
Azure Automation,Yes,Microsoft.Automation,automation,,Done,NotStarted,NotStarted,NotStarted,specification/automation/Automation.Management/tspconfig.yaml,2024-10-23,sdk/automation/azure-resourcemanager-automation,inconsistent,https://github.com/Azure/azure-sdk-for-java/pull/49111,
Azure Data Explorer (Kusto),Yes,Microsoft.Kusto,azure-kusto,,Done,NotStarted,NotStarted,NotStarted,specification/azure-kusto/resource-manager/Microsoft.Kusto/Kusto/tspconfig.yaml,2025-02-14,sdk/kusto/azure-resourcemanager-kusto,2024-04-13,https://github.com/Azure/azure-sdk-for-java/pull/49114,
Billing RP,Yes,Microsoft.Billing,billing,,Done,NotStarted,NotStarted,NotStarted,specification/billing/resource-manager/Microsoft.Billing/Billing/tspconfig.yaml,2024-04-01,sdk/billing/azure-resourcemanager-billing,2024-04-01,https://github.com/Azure/azure-sdk-for-java/pull/49105,
Azure Container Instances,Yes,Microsoft.ContainerInstance,containerinstance,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/containerinstance/resource-manager/Microsoft.ContainerInstance/ContainerInstance/tspconfig.yaml,2025-09-01,,,,
Azure Database Migration Service,Yes,Microsoft.DataMigration,datamigration,,Done,NotStarted,NotStarted,NotStarted,specification/datamigration/resource-manager/Microsoft.DataMigration/DataMigration/tspconfig.yaml,2025-09-01-preview,sdk/datamigration/azure-resourcemanager-datamigration,2025-06-30,https://github.com/Azure/azure-sdk-for-java/pull/49112,
HDInisight,Yes,Microsoft.HDInsight,hdinsight,Done,Done,NotStarted,NotStarted,NotStarted,specification/hdinsight/resource-manager/Microsoft.HDInsight/HDInsight/tspconfig.yaml,2025-01-15-preview,sdk/hdinsight/azure-resourcemanager-hdinsight,2025-01-15-preview,https://github.com/Azure/azure-sdk-for-java/pull/49103,
Azure Healthcare APIs,Yes,Microsoft.HealthcareApis,healthcareapis,,Done,NotStarted,NotStarted,NotStarted,specification/healthcareapis/resource-manager/Microsoft.HealthcareApis/HealthcareApis/tspconfig.yaml,2025-04-01-preview,sdk/healthcareapis/azure-resourcemanager-healthcareapis,2024-03-31,https://github.com/Azure/azure-sdk-for-java/pull/49110,
